(216.1, 18.8, 404.7)
(214.5, 18.7, 408.0)
(217.1, 18.7, 393.7)
(215.5, 18.6, 397.0)
(214.8, 18.7, 385.3)
(214.5, 18.7, 421.8)
(270.4, 18.9, 416.1)
(274.2, 18.9, 422.2)
(272.6, 18.8, 425.5)
(275.2, 18.8, 411.2)
(273.6, 18.7, 414.5)
(272.9, 18.8, 401.9)
(271.3, 18.7, 405.2)
(272.6, 18.6, 390.8)
(274.2, 18.7, 387.5)
(272.6, 18.8, 439.3)
(274.6, 18.7, 455.5)
(276.2, 18.8, 452.2)
(280.0, 18.8, 457.4)
(278.4, 18.7, 460.7)
(281.0, 18.7, 446.4)
(279.4, 18.6, 449.7)
(272.3, 18.7, 447.1)
(273.9, 18.8, 443.8)
(277.1, 18.8, 469.8)
(275.5, 18.7, 473.1)
(282.6, 18.6, 475.7)
(284.2, 18.7, 472.4)
(281.6, 18.7, 486.8)
(283.2, 18.8, 483.5)
(279.4, 18.8, 478.2)
(277.8, 18.7, 481.5)
(294.5, 18.7, 492.2)
(296.1, 18.8, 488.9)
(299.9, 18.8, 494.2)
(298.3, 18.7, 497.5)
(300.9, 18.7, 483.1)
(299.3, 18.6, 486.4)
(292.2, 18.7, 483.8)
(293.8, 18.8, 480.5)
(181.7, 18.8, 476.0)
(180.1, 18.7, 479.3)
(187.2, 18.6, 481.9)
(188.8, 18.7, 478.6)
(186.2, 18.7, 492.9)
(187.8, 18.8, 489.6)
(184.0, 18.8, 484.4)
(182.4, 18.7, 487.7)
(196.3, 18.7, 479.3)
(197.9, 18.8, 476.0)
(201.7, 18.8, 481.3)
(200.1, 18.7, 484.6)
(202.7, 18.7, 470.2)
(201.1, 18.6, 473.5)
(194.0, 18.7, 470.9)
(195.6, 18.8, 467.6)
(274.3, 18.7, 404.4)
(269.8, 18.8, 373.7)
(268.2, 18.7, 377.0)
(273.0, 18.6, 371.2)
(275.3, 18.6, 379.6)
(276.9, 18.7, 376.3)
(274.3, 18.7, 390.6)
(275.9, 18.8, 387.3)
(272.1, 18.8, 382.1)
(270.5, 18.7, 385.4)
(202.5, 18.6, 281.2)
(202.5, 18.6, 267.4)
(204.1, 18.7, 264.1)
(207.6, 18.8, 360.7)
(203.8, 18.6, 307.0)
(205.4, 18.7, 303.7)
(209.2, 18.7, 308.9)
(207.6, 18.6, 312.2)
(203.1, 18.9, 329.1)
(201.5, 18.8, 332.4)
(206.3, 18.7, 326.6)
(207.9, 18.8, 323.3)
(204.1, 18.8, 318.0)
(202.5, 18.7, 321.3)
(208.6, 18.7, 335.9)
(210.2, 18.8, 332.6)
(207.6, 18.8, 346.9)
(209.2, 18.9, 343.6)
(205.4, 18.9, 337.5)
(203.8, 18.8, 340.8)
(272.9, 18.9, 351.7)
(274.5, 19.0, 348.4)
(278.3, 19.0, 353.6)
(276.7, 18.9, 356.9)
(279.3, 18.9, 342.6)
(277.7, 18.8, 345.9)
(271.6, 18.8, 332.3)
(273.2, 18.9, 329.0)
(277.0, 18.9, 334.2)
(275.4, 18.8, 337.5)
(270.6, 18.9, 343.3)
(272.2, 19.0, 340.0)
(276.7, 18.7, 323.1)
(278.3, 18.8, 319.8)
(274.5, 18.8, 314.6)
(272.9, 18.7, 317.9)
(276.7, 18.9, 370.7)
(211.4, 19.1, 485.9)
(207.6, 18.9, 433.1)
(209.2, 19.0, 429.8)
(213.0, 19.0, 435.0)
(211.4, 18.9, 438.3)
(206.9, 19.2, 455.2)
(205.3, 19.1, 458.5)
(210.1, 19.0, 452.7)
(211.7, 19.1, 449.4)
(207.9, 19.1, 444.1)
